mission_id,profile_id,structured_score,semantic_score,business_score,final_score,explanation_tags
2,336,0.95,0.119,0.5233,0.5323,C# match | Docker match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
2,276,0.791,0.1857,0.6881,0.5283,Docker match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector retail | Domain aligned
2,242,0.7735,0.1156,0.8036,0.5164,Java match | Python match | Seniority compatible | Location compatible | Available in 30 days | Rate within budget | Sector retail | Domain aligned
2,250,0.92,0.0472,0.6233,0.5116,Docker match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector retail
2,53,0.83,0.096,0.6867,0.5077,C# match | Docker match | Java match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector retail | Domain aligned
2,123,0.82,0.1033,0.69,0.5073,Docker match | Java match | Python match | Seniority compatible | Location compatible | Available in 30 days | Rate within budget | Sector retail
3,147,0.92,0.1567,1.0,0.6307,AWS match | Python match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
3,174,0.91,0.249,0.65,0.5936,AWS match | Python match | SIEM match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
3,219,0.7625,0.2307,0.9333,0.5839,Python match | SIEM match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
3,208,0.8875,0.1369,0.8667,0.5831,SIEM match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
3,132,0.72,0.2652,0.8733,0.5688,DevOps match | Python match | SIEM match | Language compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
3,25,0.8235,0.1213,0.8733,0.5526,Python match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
3,192,0.786,0.142,0.8778,0.5468,AWS match | Python match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector public | Domain aligned
3,110,0.93,0.0884,0.6833,0.544,AWS match | DevOps match | Python match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector public
3,72,0.91,0.0767,0.6833,0.5313,AWS match | DevOps match | Python match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector public
3,84,0.95,0.0674,0.6167,0.5303,Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
4,258,0.886,0.1932,0.8902,0.6097,Docker match | FastAPI match | Java match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector public | Domain aligned
4,270,0.92,0.185,0.8133,0.6047,Docker match | FastAPI match | Java match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
4,18,0.97,0.2773,0.5233,0.6036,FastAPI match | Java match | NLP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
4,223,1.0,0.1167,0.69,0.5847,Docker match | NLP match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public
4,323,1.0,0.1509,0.6167,0.5837,Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
4,213,0.836,0.2337,0.7593,0.5798,Docker match | FastAPI match | Java match | Seniority compatible | Language compatible | Location compatible | Sector public | Domain aligned
4,79,0.87,0.1669,0.8133,0.5774,Docker match | FastAPI match | Python match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
4,31,0.88,0.1266,0.8667,0.576,Python match | React match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
4,124,0.7825,0.2125,0.8733,0.5727,Docker match | FastAPI match | Java match | Seniority compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
4,203,1.0,0.1145,0.6233,0.5705,FastAPI match | NLP match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public
5,322,0.97,0.0675,0.75,0.565,NLP match | Tableau match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque
5,324,0.97,0.0526,0.75,0.559,NLP match | Tableau match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque
5,30,0.91,0.0605,0.8,0.5482,C# match | FastAPI match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
5,217,0.8875,0.0897,0.75,0.5409,NLP match | React match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector banque
5,148,0.95,0.074,0.63,0.5356,C# match | NLP match | Tableau match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector banque
5,91,0.8135,0.1106,0.8197,0.5336,C# match | FastAPI match | NLP match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector banque | Domain aligned
5,336,0.88,0.0649,0.74,0.526,C# match | React match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector banque | Domain aligned
5,218,0.8875,0.0522,0.75,0.5259,NLP match | Tableau match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector banque
5,258,1.0,0.083,0.45,0.5232,C# match | FastAPI match | React match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
5,237,0.97,0.0913,0.45,0.5145,C# match | FastAPI match | React match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
6,308,0.97,0.2156,0.9333,0.6609,Azure match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
6,92,0.93,0.1977,0.75,0.6011,Azure match | DevOps match | Docker match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector banque
6,328,0.81,0.2106,0.9333,0.5949,Azure match | DevOps match | Docker match | Location compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
6,41,0.78,0.2678,0.8733,0.5938,Azure match | DevOps match | Docker match | Seniority compatible | Available in 30 days | Rate within budget | Sector banque | Domain aligned
6,228,0.83,0.2289,0.7533,0.5742,Azure match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector banque | Domain aligned
6,248,0.9275,0.1888,0.6233,0.5712,Azure match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector banque
6,345,0.796,0.1857,0.8806,0.5688,Azure match | DevOps match | Docker match | Seniority compatible | Language compatible | Available in 30 days | Sector banque | Domain aligned
6,171,0.92,0.1748,0.6233,0.5626,Azure match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector banque
6,110,1.0,0.1956,0.4,0.5582,Azure match | DevOps match | Docker match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget
6,275,0.8475,0.2256,0.5833,0.5459,Azure match | DevOps match | Docker match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
7,223,0.97,0.2348,0.89,0.6599,AWS match | DevOps match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
7,46,0.8875,0.2051,0.94,0.625,AWS match | DevOps match | Kubernetes match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
7,297,0.92,0.156,0.78,0.5864,AWS match | DevOps match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
7,281,0.9235,0.1135,0.8145,0.5777,AWS match | DevOps match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
7,20,0.77,0.1825,0.88,0.557,AWS match | DevOps match | Kubernetes match | Language compatible | Rate within budget | Sector public | Domain aligned
7,90,1.0,0.0769,0.6,0.5508,NLP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
7,308,0.97,0.1236,0.55,0.5475,AWS match | DevOps match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
7,207,0.74,0.234,0.77,0.5436,AWS match | DevOps match | Kubernetes match | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
7,149,0.8975,0.2162,0.48,0.5415,AWS match | DevOps match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Domain aligned
7,82,0.8125,0.161,0.75,0.5394,AWS match | DevOps match | Kubernetes match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
8,25,0.9535,0.2014,0.8453,0.631,Azure match | GCP match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
8,147,0.9775,0.1139,0.9143,0.6194,GCP match | Python match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
8,219,0.87,0.2029,0.9143,0.612,Azure match | GCP match | Python match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
8,84,0.97,0.1752,0.6643,0.5909,Azure match | Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
8,208,0.9475,0.1086,0.833,0.589,GCP match | SIEM match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
8,250,0.97,0.2025,0.5329,0.5756,Azure match | Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
8,132,0.88,0.1214,0.8543,0.5714,Azure match | Python match | SIEM match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
8,323,1.0,0.0954,0.6357,0.5653,Python match | SAP match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
8,88,0.87,0.1907,0.6929,0.5629,Azure match | GCP match | Python match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
8,192,0.871,0.1414,0.7772,0.5604,Azure match | GCP match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector public | Domain aligned
9,151,0.77,0.3112,0.57,0.5465,Power BI match | SOC match | SQL match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
9,36,0.8975,0.1267,0.67,0.5437,SOC match | SQL match | Salesforce match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante
9,318,0.7875,0.2127,0.66,0.5321,Power BI match | Tableau match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector sante | Domain aligned
9,138,0.86,0.1979,0.53,0.5292,Power BI match | Salesforce match | dbt match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
9,173,0.88,0.1552,0.57,0.5281,Power BI match | SQL match | Spark match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
9,203,0.75,0.1752,0.78,0.5261,SQL match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector sante | Domain aligned
9,61,0.81,0.2092,0.57,0.5217,Power BI match | SQL match | Spark match | Location compatible | Available in 15 days | Rate within budget | Domain aligned
9,190,0.83,0.1272,0.67,0.5169,Power BI match | SQL match | Salesforce match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector sante
9,344,0.88,0.1426,0.53,0.5151,SOC match | SQL match | Tableau match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
9,129,0.73,0.2925,0.53,0.515,Power BI match | Spark match | Tableau match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
10,233,0.791,0.2375,0.7619,0.5638,SQL match | Spark match | dbt match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector assurance | Domain aligned
10,151,0.8975,0.2482,0.4955,0.5574,SQL match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
10,251,0.6785,0.2454,0.7961,0.5288,SQL match | Snowflake match | dbt match | Seniority compatible | Location compatible | Available in 15 days | Sector assurance | Domain aligned
10,117,0.7535,0.1981,0.7333,0.5273,SQL match | Spark match | dbt match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector assurance | Domain aligned
10,99,0.8,0.1151,0.776,0.5212,Azure match | Spark match | Seniority compatible | Language compatible | Location compatible | Sector assurance | Domain aligned
10,90,0.8975,0.0932,0.5833,0.513,SQL match | Spark match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
10,274,0.92,0.0449,0.6167,0.5093,SQL match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector assurance
10,127,0.74,0.1594,0.7467,0.5091,Snowflake match | Spark match | dbt match | Language compatible | Location compatible | Rate within budget | Sector assurance | Domain aligned
10,112,0.8975,0.0661,0.6167,0.5088,SQL match | dbt match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector assurance
10,78,0.8975,0.0463,0.6548,0.5085,Azure match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector assurance
11,222,0.97,0.22,0.8667,0.6493,FastAPI match | Salesforce match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
11,324,1.0,0.1803,0.8667,0.6454,MLOps match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
11,57,0.9775,0.2113,0.8133,0.6382,MLOps match | Power BI match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
11,217,0.9475,0.2107,0.8667,0.6366,Power BI match | Snowflake match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
11,284,0.82,0.3454,0.8133,0.6288,FastAPI match | MLOps match | Power BI match | Language compatible | Location compatible | Rate within budget | Sector public | Domain aligned
11,90,0.88,0.2312,0.8667,0.6178,FastAPI match | MLOps match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
11,203,0.91,0.1998,0.8067,0.6052,FastAPI match | MLOps match | Snowflake match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
11,61,1.0,0.2133,0.5833,0.602,MLOps match | Power BI match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
11,15,1.0,0.2365,0.5167,0.598,FastAPI match | Power BI match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
11,176,0.82,0.1989,0.9333,0.5942,MLOps match | Power BI match | Snowflake match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public | Domain aligned
12,11,0.87,0.293,0.64,0.5932,AWS match | DevOps match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector assurance
12,297,0.74,0.2764,0.83,0.5726,AWS match | DevOps match | GCP match | Language compatible | Location compatible | Rate within budget | Sector assurance | Domain aligned
12,144,0.77,0.3354,0.63,0.5682,AWS match | DevOps match | GCP match | Seniority compatible | Language compatible | Rate within budget | Sector assurance
12,275,0.73,0.1705,1.0,0.5602,AWS match | DevOps match | GCP match | Location compatible | Available in 15 days | Rate within budget | Sector assurance | Domain aligned
12,277,0.76,0.2242,0.83,0.5597,AWS match | DevOps match | Kubernetes match | Seniority compatible | Location compatible | Rate within budget | Sector assurance | Domain aligned
12,59,0.87,0.2351,0.54,0.55,DevOps match | GCP match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
12,296,0.63,0.2693,0.89,0.5377,AWS match | DevOps match | Kubernetes match | Seniority compatible | Available in 30 days | Rate within budget | Sector assurance | Domain aligned
12,299,0.786,0.1309,0.8542,0.5376,AWS match | DevOps match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Sector assurance | Domain aligned
12,142,0.82,0.2177,0.6,0.5351,AWS match | DevOps match | GCP match | Seniority compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
12,138,0.92,0.0857,0.65,0.5323,DevOps match | GCP match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector assurance
13,323,0.9475,0.2563,0.65,0.6115,Power BI match | Python match | SAP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
13,254,0.9075,0.1358,0.9312,0.6036,Power BI match | Python match | SAP match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector assurance | Domain aligned
13,301,0.84,0.1633,1.0,0.6013,Power BI match | Python match | SAP match | Language compatible | Available in 15 days | Rate within budget | Sector assurance | Domain aligned
13,209,0.8035,0.2669,0.8,0.5881,Power BI match | Python match | SAP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector assurance | Domain aligned
13,45,0.9475,0.1712,0.65,0.5775,Power BI match | Python match | SAP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Domain aligned
13,86,0.83,0.2817,0.53,0.5507,Power BI match | Python match | SAP match | Seniority compatible | Language compatible | Rate within budget | Domain aligned
13,256,0.9075,0.1322,0.5633,0.5286,C# match | Power BI match | Python match | Seniority compatible | Language compatible | Rate within budget | Sector assurance
13,77,0.8975,0.2113,0.4033,0.5242,Python match | SAP match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Domain aligned
13,37,0.8075,0.1892,0.6077,0.5202,C# match | Python match | SAP match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector assurance
13,309,0.7225,0.1984,0.7467,0.5177,SAP match | Location compatible | Rate within budget | Sector assurance | Domain aligned
14,169,0.866,0.2735,0.6933,0.5944,Azure match | DevOps match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector public
14,132,0.81,0.1411,0.86,0.5524,Azure match | DevOps match | Python match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector public | Domain aligned
14,82,0.866,0.1937,0.6328,0.5504,Azure match | DevOps match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector public
14,88,0.8135,0.2073,0.71,0.5503,Azure match | DevOps match | GCP match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector public
14,71,0.86,0.3271,0.36,0.5468,Azure match | DevOps match | GCP match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget
14,302,0.86,0.1495,0.71,0.5458,Azure match | DevOps match | GCP match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector public
14,128,0.86,0.1281,0.71,0.5372,Azure match | DevOps match | GCP match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector public
14,147,0.836,0.0797,0.8077,0.5278,GCP match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector public | Domain aligned
14,187,0.95,0.0746,0.59,0.5278,DevOps match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector public
14,208,0.781,0.1394,0.7617,0.5205,GCP match | IAM match | Terraform match | Seniority compatible | Language compatible | Available in 15 days | Sector public | Domain aligned
15,61,0.97,0.1835,0.95,0.6514,Airflow match | Power BI match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
15,285,0.97,0.2097,0.65,0.6019,Airflow match | Power BI match | Python match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque
15,218,0.8875,0.1518,0.929,0.6015,Airflow match | Power BI match | Python match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
15,148,1.0,0.1031,0.78,0.5972,Python match | SQL match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector banque | Domain aligned
15,324,0.97,0.0719,0.85,0.5867,Airflow match | SQL match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
15,117,0.8875,0.1069,0.9384,0.5854,Power BI match | Python match | SQL match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
15,310,0.91,0.2563,0.58,0.5825,Airflow match | Azure match | Power BI match | Seniority compatible | Language compatible | Rate within budget | Sector banque
15,322,0.97,0.0689,0.8,0.5756,Airflow match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
15,217,0.8875,0.0978,0.8785,0.5698,Power BI match | Python match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector banque | Domain aligned
15,227,0.91,0.2094,0.59,0.5658,Airflow match | Power BI match | Python match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector banque
16,120,0.8375,0.1602,1.0,0.5991,AWS match | Azure match | DevOps match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector industrie | Domain aligned
16,78,0.8375,0.0893,1.0,0.5707,AWS match | Azure match | SQL match | Seniority compatible | Language compatible | Available in 15 days | Rate within budget | Sector industrie | Domain aligned
16,250,0.81,0.094,0.94,0.5496,AWS match | Azure match | SQL match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
16,142,0.836,0.2276,0.5976,0.5449,AWS match | Azure match | DevOps match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Sector industrie
16,169,0.95,0.2439,0.3333,0.5442,AWS match | Azure match | DevOps match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget
16,82,0.95,0.2145,0.3333,0.5325,AWS match | Azure match | DevOps match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget
16,116,0.81,0.0742,0.8733,0.5284,AWS match | SQL match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
16,171,0.8475,0.181,0.5567,0.5227,Azure match | DevOps match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector industrie
16,275,0.8975,0.2315,0.3333,0.5183,AWS match | Azure match | DevOps match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget
16,245,0.81,0.047,0.8733,0.5174,Azure match | SQL match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector industrie | Domain aligned
17,280,0.72,0.1573,0.96,0.5429,Docker match | Python match | SOC match | Available in 15 days | Rate within budget | Sector retail | Domain aligned
17,192,0.83,0.07,0.86,0.532,AWS match | Python match | SOC match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector retail | Domain aligned
17,60,0.76,0.1229,0.86,0.5252,AWS match | Docker match | Python match | Location compatible | Available in 30 days | Rate within budget | Sector retail | Domain aligned
17,250,0.71,0.144,0.9,0.5216,AWS match | Docker match | Python match | Language compatible | Available in 30 days | Rate within budget | Sector retail | Domain aligned
17,25,0.83,0.0535,0.82,0.5174,Python match | SOC match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector retail | Domain aligned
17,291,0.75,0.1078,0.8362,0.5104,AWS match | Python match | SOC match | Seniority compatible | Available in 15 days | Sector retail | Domain aligned
17,208,0.76,0.0316,0.84,0.4847,SOC match | Language compatible | Available in 15 days | Rate within budget | Sector retail | Domain aligned
17,344,0.91,0.1382,0.32,0.4833,AWS match | Python match | SOC match | Language compatible | Location compatible | Available in 15 days | Rate within budget
17,58,0.7,0.0653,0.86,0.4781,AWS match | Python match | SOC match | Location compatible | Available in 30 days | Rate within budget | Sector retail | Domain aligned
17,92,0.76,0.0824,0.67,0.471,AWS match | Docker match | Python match | Language compatible | Available in 15 days | Rate within budget | Sector retail
18,59,0.9475,0.2953,0.8834,0.6738,DevOps match | GCP match | Kubernetes match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector retail | Domain aligned
18,92,0.82,0.3199,0.75,0.606,DevOps match | Docker match | GCP match | Language compatible | Available in 15 days | Rate within budget | Sector retail
18,281,0.97,0.2872,0.51,0.6049,DevOps match | Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
18,345,0.8875,0.3255,0.59,0.6032,DevOps match | Docker match | GCP match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Domain aligned
18,223,0.88,0.3104,0.55,0.5862,DevOps match | Docker match | GCP match | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
18,346,0.73,0.3133,0.8,0.5773,DevOps match | Docker match | GCP match | Location compatible | Rate within budget | Sector retail | Domain aligned
18,70,0.77,0.2539,0.8,0.5695,DevOps match | Docker match | GCP match | Language compatible | Location compatible | Rate within budget | Sector retail | Domain aligned
18,266,0.9775,0.1635,0.55,0.5664,DevOps match | Docker match | GCP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Domain aligned
18,258,0.9775,0.0895,0.67,0.5608,Docker match | Spark match | Terraform match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector retail
18,100,0.8375,0.1693,0.786,0.5599,DevOps match | Docker match | GCP match | Seniority compatible | Language compatible | Rate within budget | Sector retail | Domain aligned
19,90,1.0,0.1262,0.9,0.6305,NLP match | Seniority compatible | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector energie | Domain aligned
19,278,0.8875,0.2449,0.7285,0.5987,Airflow match | Tableau match | Seniority compatible | Language compatible | Available in 30 days | Rate within budget | Sector energie | Domain aligned
19,307,0.91,0.1353,0.9,0.5981,NLP match | Tableau match | Language compatible | Location compatible | Available in 15 days | Rate within budget | Sector energie | Domain aligned
19,203,0.97,0.0925,0.84,0.593,NLP match | Seniority compatible | Language compatible | Location compatible | Available in 30 days | Rate within budget | Sector energie | Domain aligned
19,32,0.9275,0.1395,0.78,0.5828,NLP match | Tableau match | Seniority compatible | Language compatible | Location compatible | Rate within budget | Sector energie | Domain aligned
