experience_id,profile_id,job_title,client_sector,start_date,end_date,duration_months,experience_skills,experience_summary
31,9,Consultant Digital Junior,Public,2019-12-26,2020-08-26,8,Azure | FastAPI | React,"Intervention comme consultant digital junior pour un client du secteur public, avec delivery sur Azure, React, FastAPI."
32,9,Consultant Digital Junior,Public,2020-10-03,2023-05-03,31,Azure | C# | FastAPI | Python,"Intervention comme consultant digital junior pour un client du secteur public, avec delivery sur Azure, Python, FastAPI, C#."
33,9,Consultant Digital Confirmed,Public,2023-05-18,2024-03-18,10,Azure | React | SIEM,"Intervention comme consultant digital confirmed pour un client du secteur public, avec delivery sur React, SIEM, Azure."
34,9,Full Stack Engineer Confirmed,Public,2024-04-10,2025-06-10,14,C# | Python | React,"Intervention comme full stack engineer confirmed pour un client du secteur public, avec delivery sur React, C#, Python."
35,9,Lead Developer Confirmed,Public,2025-06-29,2026-03-29,9,Azure | C# | FastAPI | Python | React | SIEM,"Intervention comme lead developer confirmed pour un client du secteur public, avec delivery sur SIEM, C#, React, Azure."
36,10,Data Scientist Confirmed,Retail,2007-10-30,2008-05-30,7,Airflow | MLOps | Python | SQL,"Intervention comme data scientist confirmed pour un client du secteur retail, avec delivery sur SQL, Python, Airflow, MLOps."
37,10,ML Engineer Confirmed,Retail,2008-07-06,2013-09-06,62,Power BI | Python | SQL,"Intervention comme ml engineer confirmed pour un client du secteur retail, avec delivery sur Python, SQL, Power BI."
38,10,Data Scientist Senior,Retail,2013-09-23,2018-04-23,55,Airflow | NLP | SQL | Snowflake | Spark,"Intervention comme data scientist senior pour un client du secteur retail, avec delivery sur Snowflake, Spark, SQL, NLP."
39,10,Data Engineer Senior,Retail,2018-05-23,2020-02-23,21,Power BI | SQL | Snowflake | Spark,"Intervention comme data engineer senior pour un client du secteur retail, avec delivery sur Power BI, SQL, Spark, Snowflake."
40,10,ML Engineer Expert,Retail,2020-03-26,2026-02-26,71,Databricks | NLP | SQL | Snowflake,"Intervention comme ml engineer expert pour un client du secteur retail, avec delivery sur NLP, SQL, Databricks, Snowflake."
41,11,Platform DevOps Junior,Sante,2018-12-04,2019-11-04,11,AWS | Azure | DevOps | GCP | Kubernetes | Terraform,"Intervention comme platform devops junior pour un client du secteur sante, avec delivery sur GCP, DevOps, Kubernetes, Azure."
42,11,Platform DevOps Confirmed,Banque,2019-11-22,2024-02-22,51,AWS | Azure | DevOps | GCP,"Intervention comme platform devops confirmed pour un client du secteur banque, avec delivery sur GCP, AWS, DevOps, Azure."
43,11,Lead DevOps Senior,Sante,2024-04-04,2025-04-04,12,AWS | Azure | DevOps | GCP | Kubernetes,"Intervention comme lead devops senior pour un client du secteur sante, avec delivery sur GCP, Azure, DevOps, Kubernetes."
44,11,DevOps Engineer Senior,Sante,2025-05-13,2026-03-13,10,AWS | Azure | DevOps | Kubernetes | Terraform,"Intervention comme devops engineer senior pour un client du secteur sante, avec delivery sur AWS, Azure, DevOps, Kubernetes."
45,12,Cloud Engineer Confirmed,Public,2012-11-30,2020-11-30,96,AWS | Azure | DevOps | Docker | Kubernetes,"Intervention comme cloud engineer confirmed pour un client du secteur public, avec delivery sur Docker, Azure, DevOps, Kubernetes."
46,12,Architecte Cloud Senior,Telecom,2020-12-22,2021-07-22,7,AWS | DevOps | Docker | Kubernetes,"Intervention comme architecte cloud senior pour un client du secteur telecom, avec delivery sur DevOps, Docker, Kubernetes, AWS."
47,12,Architecte Cloud Expert,Public,2021-08-29,2026-01-29,53,DevOps | Docker | Java | Python,"Intervention comme architecte cloud expert pour un client du secteur public, avec delivery sur Java, Docker, Python, DevOps."
48,13,CRM Analyst Junior,Banque,2016-09-21,2018-03-21,18,AWS | Java | Kubernetes | Python,"Intervention comme crm analyst junior pour un client du secteur banque, avec delivery sur AWS, Python, Kubernetes, Java."
49,13,Consultant Salesforce Confirmed,Banque,2018-04-29,2022-03-29,47,AWS | Java | SQL | Salesforce,"Intervention comme consultant salesforce confirmed pour un client du secteur banque, avec delivery sur Salesforce, SQL, AWS, Java."
50,13,CRM Solution Engineer Senior,Banque,2022-04-22,2024-07-22,27,Kubernetes | Power BI | React | SQL | Salesforce,"Intervention comme crm solution engineer senior pour un client du secteur banque, avec delivery sur Power BI, SQL, React, Kubernetes."
51,13,Consultant Salesforce Senior,Public,2024-08-26,2025-12-26,16,AWS | C# | Power BI | Python | React | SQL,"Intervention comme consultant salesforce senior pour un client du secteur public, avec delivery sur SQL, AWS, React, C#."
52,14,DevOps Engineer Confirmed,Public,2016-12-23,2023-04-23,76,AWS | DevOps | Docker | IAM | React | Terraform,"Intervention comme devops engineer confirmed pour un client du secteur public, avec delivery sur React, IAM, Terraform, DevOps."
53,14,SRE Confirmed,Public,2023-05-15,2024-02-15,9,AWS | Docker | Kubernetes | Python | React | Terraform,"Intervention comme sre confirmed pour un client du secteur public, avec delivery sur Docker, Python, Terraform, AWS."
54,14,SRE Senior,Public,2024-02-28,2026-01-28,23,GCP | Kubernetes | NLP | Python | React,"Intervention comme sre senior pour un client du secteur public, avec delivery sur React, NLP, Kubernetes, Python."
55,15,Data Analyst Confirmed,Industrie,2018-01-16,2019-06-16,17,C# | Databricks | FastAPI | SQL | Tableau | dbt,"Intervention comme data analyst confirmed pour un client du secteur industrie, avec delivery sur SQL, Tableau, Databricks, dbt."
56,15,ML Engineer Confirmed,Industrie,2019-07-27,2021-02-27,19,C# | Databricks | FastAPI | SQL,"Intervention comme ml engineer confirmed pour un client du secteur industrie, avec delivery sur C#, SQL, Databricks, FastAPI."
57,15,ML Engineer Senior,Industrie,2021-03-29,2026-03-29,60,C# | FastAPI | SQL | Tableau | dbt,"Intervention comme ml engineer senior pour un client du secteur industrie, avec delivery sur FastAPI, C#, dbt, SQL."
58,16,Data Analyst Junior,Banque,2022-07-24,2023-03-24,8,Docker | FastAPI | Python | dbt,"Intervention comme data analyst junior pour un client du secteur banque, avec delivery sur dbt, FastAPI, Python, Docker."
59,16,Data Engineer Junior,Telecom,2023-04-07,2023-11-07,7,AWS | Power BI | Python | Spark,"Intervention comme data engineer junior pour un client du secteur telecom, avec delivery sur Spark, Python, Power BI, AWS."
60,16,Data Analyst Junior,Telecom,2023-11-23,2024-09-23,10,AWS | Airflow | Docker | FastAPI | IAM | dbt,"Intervention comme data analyst junior pour un client du secteur telecom, avec delivery sur FastAPI, dbt, IAM, Docker."
61,16,Data Analyst Junior,Industrie,2024-11-06,2025-07-06,8,AWS | Airflow | Spark | Tableau | dbt,"Intervention comme data analyst junior pour un client du secteur industrie, avec delivery sur Airflow, dbt, Tableau, Spark."
62,16,Data Scientist Junior,Industrie,2025-08-12,2026-03-12,7,AWS | IAM | Power BI | Python,"Intervention comme data scientist junior pour un client du secteur industrie, avec delivery sur Python, AWS, IAM, Power BI."
63,17,Data Scientist Confirmed,Banque,2005-10-19,2009-09-19,47,Databricks | FastAPI | Power BI | SAP | SQL | Tableau,"Intervention comme data scientist confirmed pour un client du secteur banque, avec delivery sur Databricks, FastAPI, SAP, SQL."
64,17,ML Engineer Senior,Banque,2009-11-02,2014-01-02,50,Databricks | MLOps | Power BI | SAP | Tableau | dbt,"Intervention comme ml engineer senior pour un client du secteur banque, avec delivery sur Power BI, MLOps, dbt, SAP."
65,17,Data Scientist Senior,Banque,2014-02-08,2019-11-08,69,FastAPI | MLOps | SQL | Tableau | dbt,"Intervention comme data scientist senior pour un client du secteur banque, avec delivery sur FastAPI, SQL, Tableau, MLOps."
66,17,Data Scientist Expert,Banque,2019-11-27,2026-01-27,74,Databricks | FastAPI | Power BI | Tableau,"Intervention comme data scientist expert pour un client du secteur banque, avec delivery sur Databricks, Tableau, FastAPI, Power BI."
67,18,Full Stack Engineer Junior,Assurance,2021-02-09,2022-03-09,13,FastAPI | Java | Python | SQL | dbt,"Intervention comme full stack engineer junior pour un client du secteur assurance, avec delivery sur dbt, SQL, Python, Java."
68,18,Lead Developer Confirmed,Energie,2022-03-21,2023-02-21,11,FastAPI | Java | NLP | SQL | Tableau,"Intervention comme lead developer confirmed pour un client du secteur energie, avec delivery sur FastAPI, SQL, Tableau, Java."
69,18,Lead Developer Confirmed,Energie,2023-03-15,2026-03-15,36,Java | SQL | Tableau,"Intervention comme lead developer confirmed pour un client du secteur energie, avec delivery sur SQL, Java, Tableau."
70,19,Architecte Cyber Confirmed,Telecom,2016-01-02,2025-03-02,110,IAM | Java | Power BI | Python | SIEM | SQL,"Intervention comme architecte cyber confirmed pour un client du secteur telecom, avec delivery sur Python, Java, IAM, Power BI."
71,19,Expert IAM Senior,Public,2025-03-25,2026-01-25,10,Azure | IAM | Python | SQL,"Intervention comme expert iam senior pour un client du secteur public, avec delivery sur Azure, SQL, IAM, Python."
72,20,Platform Engineer Junior,Energie,2024-01-27,2024-08-27,7,GCP | Kubernetes | NLP | Terraform,"Intervention comme platform engineer junior pour un client du secteur energie, avec delivery sur GCP, NLP, Kubernetes, Terraform."
73,20,Architecte Cloud Junior,Energie,2024-09-27,2026-02-27,17,Azure | GCP | Kubernetes | NLP | Python | Terraform,"Intervention comme architecte cloud junior pour un client du secteur energie, avec delivery sur Terraform, Azure, Kubernetes, Python."
74,21,Expert IAM Junior,Public,2019-10-31,2021-10-31,24,AWS | IAM | Python | SIEM | Terraform,"Intervention comme expert iam junior pour un client du secteur public, avec delivery sur Python, IAM, AWS, Terraform."
75,21,Consultant Cyber Junior,Banque,2021-11-13,2022-10-13,11,AWS | Airflow | IAM | Tableau,"Intervention comme consultant cyber junior pour un client du secteur banque, avec delivery sur Tableau, AWS, Airflow, IAM."
76,21,Expert IAM Confirmed,Banque,2022-11-14,2023-12-14,13,GCP | Python | SQL | Tableau,"Intervention comme expert iam confirmed pour un client du secteur banque, avec delivery sur Python, SQL, GCP, Tableau."
77,21,Consultant Cyber Confirmed,Retail,2023-12-25,2025-12-25,24,SIEM | SQL | Tableau,"Intervention comme consultant cyber confirmed pour un client du secteur retail, avec delivery sur SIEM, SQL, Tableau."
78,22,Consultant Cloud Junior,Telecom,2018-09-04,2020-07-04,22,Kubernetes | Python | SOC | Snowflake | Terraform,"Intervention comme consultant cloud junior pour un client du secteur telecom, avec delivery sur SOC, Snowflake, Kubernetes, Python."
79,22,Consultant Cloud Confirmed,Public,2020-08-08,2022-01-08,17,AWS | Airflow | Azure | Snowflake | Terraform,"Intervention comme consultant cloud confirmed pour un client du secteur public, avec delivery sur Terraform, Snowflake, Azure, AWS."
80,22,Platform Engineer Confirmed,Banque,2022-02-16,2023-05-16,15,Airflow | Azure | Python | SOC,"Intervention comme platform engineer confirmed pour un client du secteur banque, avec delivery sur Azure, SOC, Python, Airflow."
81,22,Cloud Engineer Senior,Telecom,2023-06-22,2024-12-22,18,Airflow | Docker | Kubernetes | Python | Snowflake,"Intervention comme cloud engineer senior pour un client du secteur telecom, avec delivery sur Airflow, Kubernetes, Docker, Snowflake."
82,22,Platform Engineer Senior,Telecom,2025-01-28,2026-01-28,12,Airflow | Kubernetes | SOC | Terraform,"Intervention comme platform engineer senior pour un client du secteur telecom, avec delivery sur Kubernetes, SOC, Terraform, Airflow."
83,23,ML Engineer Senior,Sante,2009-12-24,2013-10-24,46,Airflow | MLOps | Power BI | Spark | Tableau,"Intervention comme ml engineer senior pour un client du secteur sante, avec delivery sur Tableau, Airflow, Power BI, Spark."
84,23,Data Analyst Expert,Sante,2013-11-30,2026-01-30,146,Airflow | MLOps | Spark,"Intervention comme data analyst expert pour un client du secteur sante, avec delivery sur Spark, Airflow, MLOps."
85,24,CRM Analyst Confirmed,Telecom,2013-10-26,2017-06-26,44,Airflow | Power BI | Python | Salesforce | Spark,"Intervention comme crm analyst confirmed pour un client du secteur telecom, avec delivery sur Salesforce, Spark, Airflow, Python."
86,24,CRM Analyst Senior,Telecom,2017-08-04,2022-03-04,55,Airflow | C# | Python | Salesforce | Spark,"Intervention comme crm analyst senior pour un client du secteur telecom, avec delivery sur C#, Airflow, Spark, Salesforce."
87,24,Consultant Salesforce Senior,Telecom,2022-03-19,2025-02-19,35,Airflow | Power BI | Python | Salesforce,"Intervention comme consultant salesforce senior pour un client du secteur telecom, avec delivery sur Python, Power BI, Salesforce, Airflow."
88,24,CRM Analyst Expert,Telecom,2025-03-28,2026-01-28,10,C# | Python | Salesforce,"Intervention comme crm analyst expert pour un client du secteur telecom, avec delivery sur Salesforce, Python, C#."
89,25,Consultant Cyber Junior,Public,2016-12-16,2019-01-16,25,Azure | GCP | React | SIEM | SOC,"Intervention comme consultant cyber junior pour un client du secteur public, avec delivery sur React, SIEM, Azure, GCP."
90,25,Analyste SOC Confirmed,Public,2019-02-04,2020-11-04,21,Azure | GCP | Python | React | Terraform,"Intervention comme analyste soc confirmed pour un client du secteur public, avec delivery sur GCP, Python, Azure, React."
91,25,Consultant Cyber Confirmed,Retail,2020-12-02,2021-08-02,8,Azure | GCP | React,"Intervention comme consultant cyber confirmed pour un client du secteur retail, avec delivery sur GCP, React, Azure."
92,25,Analyste SOC Senior,Public,2021-08-19,2022-05-19,9,SIEM | SOC | Terraform,"Intervention comme analyste soc senior pour un client du secteur public, avec delivery sur SOC, Terraform, SIEM."
93,25,Analyste SOC Senior,Public,2022-06-01,2026-03-01,45,GCP | Python | SIEM | Terraform,"Intervention comme analyste soc senior pour un client du secteur public, avec delivery sur SIEM, GCP, Python, Terraform."
94,26,SRE Junior,Sante,2022-12-01,2023-12-01,12,AWS | Python | Terraform | dbt,"Intervention comme sre junior pour un client du secteur sante, avec delivery sur dbt, Terraform, AWS, Python."
95,26,SRE Junior,Sante,2023-12-31,2024-08-31,8,AWS | Python | Terraform | dbt,"Intervention comme sre junior pour un client du secteur sante, avec delivery sur Python, AWS, dbt, Terraform."
96,26,SRE Confirmed,Sante,2024-10-13,2025-05-13,7,AWS | Python | Terraform,"Intervention comme sre confirmed pour un client du secteur sante, avec delivery sur AWS, Python, Terraform."
97,26,Platform DevOps Confirmed,Sante,2025-05-27,2026-02-27,9,Kubernetes | Python | dbt,"Intervention comme platform devops confirmed pour un client du secteur sante, avec delivery sur Python, Kubernetes, dbt."
98,27,Full Stack Engineer Confirmed,Sante,2019-01-19,2020-12-19,23,C# | Docker | Java | Power BI | React | SIEM,"Intervention comme full stack engineer confirmed pour un client du secteur sante, avec delivery sur React, Java, C#, Docker."
99,27,Product Analyst Confirmed,Energie,2021-01-06,2025-06-06,53,FastAPI | Power BI | SQL | Tableau,"Intervention comme product analyst confirmed pour un client du secteur energie, avec delivery sur FastAPI, SQL, Power BI, Tableau."
100,27,Product Analyst Senior,Sante,2025-07-14,2026-03-14,8,Docker | Power BI | Tableau,"Intervention comme product analyst senior pour un client du secteur sante, avec delivery sur Power BI, Tableau, Docker."
101,28,Product Analyst Confirmed,Public,2016-12-20,2025-03-20,99,Airflow | C# | Docker | FastAPI | SQL | Tableau,"Intervention comme product analyst confirmed pour un client du secteur public, avec delivery sur FastAPI, Tableau, Airflow, C#."
102,28,Full Stack Engineer Senior,Banque,2025-04-27,2026-01-27,9,Airflow | Docker | FastAPI | Java | Python | SQL,"Intervention comme full stack engineer senior pour un client du secteur banque, avec delivery sur FastAPI, Python, Docker, SQL."
103,29,Expert IAM Junior,Telecom,2018-11-27,2020-03-27,16,AWS | C# | MLOps | SIEM | SQL | Terraform,"Intervention comme expert iam junior pour un client du secteur telecom, avec delivery sur C#, AWS, Terraform, SIEM."
104,29,Analyste SOC Confirmed,Telecom,2020-04-16,2022-09-16,29,AWS | Azure | C# | SIEM | SQL | Terraform,"Intervention comme analyste soc confirmed pour un client du secteur telecom, avec delivery sur SQL, Terraform, SIEM, Azure."
105,29,Expert IAM Senior,Telecom,2022-09-26,2024-11-26,26,Azure | C# | Terraform,"Intervention comme expert iam senior pour un client du secteur telecom, avec delivery sur C#, Azure, Terraform."
106,29,Consultant Cyber Senior,Telecom,2024-12-28,2026-01-28,13,Azure | MLOps | SIEM | SQL | Terraform,"Intervention comme consultant cyber senior pour un client du secteur telecom, avec delivery sur SQL, MLOps, Terraform, Azure."
107,30,Product Analyst Junior,Banque,2016-01-14,2018-08-14,31,C# | Docker | Java | MLOps | Python | Spark,"Intervention comme product analyst junior pour un client du secteur banque, avec delivery sur MLOps, Docker, Java, C#."
108,30,Consultant Digital Confirmed,Banque,2018-09-18,2022-09-18,48,FastAPI | MLOps | Python,"Intervention comme consultant digital confirmed pour un client du secteur banque, avec delivery sur FastAPI, Python, MLOps."
109,30,Lead Developer Senior,Banque,2022-09-30,2025-05-30,32,C# | Java | SQL | Spark,"Intervention comme lead developer senior pour un client du secteur banque, avec delivery sur Java, SQL, Spark, C#."
110,30,Lead Developer Senior,Banque,2025-06-28,2026-03-28,9,FastAPI | Java | Spark,"Intervention comme lead developer senior pour un client du secteur banque, avec delivery sur Java, Spark, FastAPI."
111,31,Product Analyst Junior,Sante,2023-06-13,2024-02-13,8,C# | Python | React | SQL | Snowflake | Tableau,"Intervention comme product analyst junior pour un client du secteur sante, avec delivery sur SQL, C#, Snowflake, Tableau."
112,31,Consultant Digital Junior,Energie,2024-02-27,2024-12-27,10,Python | Snowflake | Tableau,"Intervention comme consultant digital junior pour un client du secteur energie, avec delivery sur Tableau, Python, Snowflake."
113,31,Full Stack Engineer Junior,Energie,2025-01-18,2025-08-18,7,Python | React | SQL | Snowflake | Tableau,"Intervention comme full stack engineer junior pour un client du secteur energie, avec delivery sur React, Tableau, Python, SQL."
114,31,Full Stack Engineer Junior,Sante,2025-08-28,2026-03-28,7,C# | React | SQL | Tableau,"Intervention comme full stack engineer junior pour un client du secteur sante, avec delivery sur C#, SQL, React, Tableau."
115,32,ML Engineer Junior,Public,2019-11-27,2021-10-27,23,MLOps | NLP | Power BI | Spark | Tableau | dbt,"Intervention comme ml engineer junior pour un client du secteur public, avec delivery sur Spark, Power BI, NLP, MLOps."
116,32,Data Analyst Junior,Sante,2021-11-18,2022-12-18,13,Databricks | Java | NLP | Power BI | Snowflake | Tableau,"Intervention comme data analyst junior pour un client du secteur sante, avec delivery sur NLP, Tableau, Java, Snowflake."
117,32,ML Engineer Confirmed,Public,2023-01-03,2023-07-03,6,Azure | Java | MLOps | Power BI | Spark,"Intervention comme ml engineer confirmed pour un client du secteur public, avec delivery sur Java, Power BI, Spark, Azure."
118,32,Data Analyst Confirmed,Energie,2023-08-13,2024-10-13,14,Databricks | Snowflake | dbt,"Intervention comme data analyst confirmed pour un client du secteur energie, avec delivery sur dbt, Databricks, Snowflake."
119,32,Data Analyst Confirmed,Public,2024-10-24,2026-02-24,16,Java | NLP | Snowflake | Tableau | dbt,"Intervention comme data analyst confirmed pour un client du secteur public, avec delivery sur NLP, Java, Tableau, Snowflake."
120,33,Data Analyst Confirmed,Public,2012-11-04,2018-09-04,70,Airflow | SIEM | SQL | Spark | dbt,"Intervention comme data analyst confirmed pour un client du secteur public, avec delivery sur SIEM, Airflow, dbt, SQL."
121,33,ML Engineer Confirmed,Public,2018-10-01,2020-08-01,22,SQL | Tableau | dbt,"Intervention comme ml engineer confirmed pour un client du secteur public, avec delivery sur SQL, Tableau, dbt."
122,33,ML Engineer Senior,Industrie,2020-08-28,2021-06-28,10,MLOps | SQL | Tableau,"Intervention comme ml engineer senior pour un client du secteur industrie, avec delivery sur MLOps, Tableau, SQL."
123,33,Data Scientist Senior,Industrie,2021-07-26,2022-12-26,17,MLOps | SIEM | SQL | Spark | dbt,"Intervention comme data scientist senior pour un client du secteur industrie, avec delivery sur SQL, MLOps, SIEM, Spark."
124,33,Data Engineer Expert,Retail,2023-01-26,2026-02-26,37,MLOps | Spark | Tableau,"Intervention comme data engineer expert pour un client du secteur retail, avec delivery sur Tableau, Spark, MLOps."
125,34,Data Engineer Confirmed,Banque,2014-11-08,2018-10-08,47,Azure | FastAPI | MLOps | Spark | Tableau,"Intervention comme data engineer confirmed pour un client du secteur banque, avec delivery sur Azure, Spark, MLOps, FastAPI."
126,34,Data Engineer Confirmed,Banque,2018-10-21,2021-06-21,32,Azure | FastAPI | Spark,"Intervention comme data engineer confirmed pour un client du secteur banque, avec delivery sur Spark, Azure, FastAPI."
127,34,Data Engineer Senior,Banque,2021-07-02,2025-12-02,53,Azure | Spark | Tableau,"Intervention comme data engineer senior pour un client du secteur banque, avec delivery sur Tableau, Spark, Azure."
128,35,DevOps Engineer Junior,Sante,2021-11-11,2022-07-11,8,Azure | Docker | GCP | Kubernetes | Python | Terraform,"Intervention comme devops engineer junior pour un client du secteur sante, avec delivery sur Python, Docker, GCP, Kubernetes."
129,35,DevOps Engineer Junior,Sante,2022-08-16,2023-03-16,7,Azure | Docker | Python,"Intervention comme devops engineer junior pour un client du secteur sante, avec delivery sur Docker, Azure, Python."
130,35,DevOps Engineer Confirmed,Sante,2023-04-10,2024-12-10,20,Azure | Docker | GCP | Terraform,"Intervention comme devops engineer confirmed pour un client du secteur sante, avec delivery sur Terraform, GCP, Docker, Azure."
131,35,Lead DevOps Confirmed,Sante,2024-12-27,2026-01-27,13,AWS | GCP | Kubernetes,"Intervention comme lead devops confirmed pour un client du secteur sante, avec delivery sur AWS, Kubernetes, GCP."
132,36,CRM Solution Engineer Senior,Sante,2011-02-04,2025-03-04,169,AWS | Java | Python | SOC | Salesforce,"Intervention comme crm solution engineer senior pour un client du secteur sante, avec delivery sur SOC, Salesforce, Java, Python."
133,36,CRM Analyst Expert,Energie,2025-04-16,2026-03-16,11,Python | SOC | Salesforce,"Intervention comme crm analyst expert pour un client du secteur energie, avec delivery sur Salesforce, Python, SOC."
